Pos,Team,Matches,Points,Rating
1,Australia Women,36,10471,291
2,England Women,33,9175,278
3,New Zealand Women,26,7046,271
4,India Women,43,11404,265
5,South Africa Women,32,7881,246
6,West Indies Women,30,7371,246
7,Pakistan Women,34,7795,229
8,Sri Lanka Women,26,5235,201
9,Bangladesh Women,33,6344,192
10,Ireland Women,22,3622,165
11,Thailand Women,44,7033,160
12,Zimbabwe Women,20,3153,158
13,Scotland Women,19,2759,145
14,Nepal Women,20,2577,129
15,PNG Women,23,2894,126
16,UAE Women,19,2326,122
17,Uganda Women,25,3036,121
18,Samoa Women,15,1816,121
19,Tanzania Women,19,1915,101
20,Kenya Women,16,1476,92
21,Netherlands Women,19,1640,86
22,Indonesia Women,22,1812,82
23,Hong Kong Women,25,1841,74
24,Namibia Women,30,2103,70
25,China Women,23,1554,68
26,Germany Women,16,899,56
27,Japan Women,14,751,54
28,Vanuatu Women,15,734,49
29,Belize Women,6,269,45
30,Kuwait Women,13,575,44
31,Malaysia Women,27,1183,44
32,Rwanda Women,20,851,43
33,Myanmar Women,10,424,42
34,Argentina Women,14,584,42
35,USA Women,9,371,41
36,Botswana Women,15,609,41
37,Jersey Women,7,280,40
38,Brazil Women,16,624,39
39,Sierra Leone Women,8,308,39
40,France Women,9,333,37
41,Nigeria Women,16,478,30
42,Denmark Women,3,85,28
43,Oman Women,11,288,26
44,Qatar Women,6,151,25
45,South Korea Women,9,159,18
46,Bhutan Women,6,101,17
47,Malawi Women,10,158,16
48,Chile Women,10,121,12
49,Mexico Women,8,83,10
51,Costa Rica,8,68,9
52,Mozambique Women,16,133,8
53,Austria Women,11,36,3
54,Belgium Women,3,20,7
54,Singapore Women,10,6,1
55,Peru Women,6,13,2
56,Fiji Women,12,0,0
57,Norway Women,6,0,0
58,Mali Women,6,0,0
59,Lesotho Women,3,0,0
